"USDC","Symbol","Shares","USDCPerShare","Router","StartedUTC","FinishedUTC","Attempts","Error"
"10000","NVDAx","46.94170647900800170791148","213.0301761499004961377368712","jupiterz","2026-09-15T12:54:27.0572744+00:00","2026-09-15T12:54:27.4687067+00:00","1",
"10000","NVDAon","46.96781514198899757346652","212.91175605611785828200408676","jupiterz","2026-09-15T12:54:27.1013063+00:00","2026-09-15T12:54:27.6207219+00:00","1",
