requestedUSDC,symbol,shareEquivalentExposure,reportedUSDCPerShareEquivalent,router,startedUTC,finishedUTC
100,NVDAx,0.46992309398332777627148,212.80077800038459523001337927,metis,,
100,NVDAon,0.4697402647773220686679931,212.88360291490975403523583005,jupiterz,,
1000,NVDAx,4.69871151769468853380284,212.82430220160149439239491936,metis,,
1000,NVDAon,4.6976108152207882300954777,212.87416930323119773524587189,jupiterz,,
10000,NVDAx,46.94170647900800170791148,213.0301761499004961377368712,jupiterz,2026-09-15T12:54:27.0572744+00:00,2026-09-15T12:54:27.4687067+00:00
10000,NVDAon,46.96781514198899757346652,212.91175605611785828200408676,jupiterz,2026-09-15T12:54:27.1013063+00:00,2026-09-15T12:54:27.6207219+00:00
